"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"27.01.2015 21:00";"24.9";"48";"2.7";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"27.01.2015 22:00";"24.5";"46";"2.5";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"27.01.2015 23:00";"24.3";"50";"2.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 00:00";"25.9";"48";"2.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 01:00";"26.1";"49";"2.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 02:00";"24.9";"51";"2.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 03:00";"24.2";"52";"2.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 04:00";"23.4";"51";"2.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 05:00";"22.8";"51";"1.8";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 06:00";"22.4";"52";"1.5";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 07:00";"22.1";"54";"1.5";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 08:00";"21.6";"55";"1.3";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 09:00";"21.3";"54";"1.6";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 10:00";"20.9";"54";"2.0";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 11:00";"20.7";"53";"2.4";"80";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 12:00";"20.5";"52";"3.3";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 13:00";"20.4";"52";"3.8";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 14:00";"20.3";"51";"3.3";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 15:00";"20.1";"51";"2.9";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 16:00";"19.9";"51";"2.8";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 17:00";"19.6";"51";"2.5";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 18:00";"18.8";"45";"2.3";"80";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 19:00";"21.3";"60";"2.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 20:00";"24.1";"55";"1.9";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 21:00";"23.2";"53";"1.7";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 22:00";"23.9";"53";"1.5";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"28.01.2015 23:00";"24.2";"52";"1.4";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 00:00";"23.8";"52";"0.8";"80";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 01:00";"23.0";"52";"0.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 02:00";"22.3";"53";"0.7";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 03:00";"21.8";"54";"0.8";"80";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 04:00";"21.3";"54";"0.7";"80";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 05:00";"21.0";"55";"0.4";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 06:00";"20.8";"55";"0.2";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 07:00";"21.0";"56";"-0.6";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 08:00";"20.5";"56";"0.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 09:00";"20.1";"55";"0.7";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 10:00";"19.8";"55";"2.0";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 11:00";"19.7";"55";"3.6";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 12:00";"19.6";"54";"4.3";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 13:00";"19.5";"54";"4.8";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 14:00";"19.4";"53";"4.7";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 15:00";"19.2";"53";"5.0";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 16:00";"19.0";"54";"4.5";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 17:00";"18.8";"54";"3.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 18:00";"19.4";"46";"3.0";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 19:00";"22.1";"48";"2.8";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 20:00";"23.4";"54";"2.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 21:00";"23.8";"52";"2.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 22:00";"24.1";"52";"1.8";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"29.01.2015 23:00";"24.2";"52";"0.8";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 00:00";"23.9";"51";"1.2";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 01:00";"23.1";"52";"0.4";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 02:00";"22.0";"54";"0.3";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 03:00";"21.5";"55";"0.5";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"30.01.2015 04:00";"21.0";"55";"0.8";"78";"---";"---";"---";"---";"---";"---";"---";"---"
